County,Access to electricity
Baringo,9.6
Bomet,4.3
Bungoma,4.5
Busia,6
Elgeyo Marakwet,7.2
Embu,14.9
Garissa,11.6
Homa Bay,3.3
Isiolo,18.5
Kajiado,0.5
Kakamega,5.6
Kericho,11.8
Kiambu,53
Kilifi,16.7
Kirinyaga,16.4
Kisii,7.8
Kisumu,18.3
Kitui,4.8
Kwale,10.6
Laikipia,17.7
Lamu,17
Machakos,17
Makueni,5.9
Mandera,2.5
Marsabit,7.5
Meru,13.1
Migori,5.3
Mombasa,59
Muranga,14
Nairobi,72.4
Nakuru,34
Nandi,6.4
Narok,5.9
Nyamira,6.1
Nyandarua,10.5
Nyeri,26.3
Samburu,6.2
Siaya,4.3
Taita Taveta,7.7
Tana River,2.5
Tharaka Nithi,3
Trans Nzoia,8.9
Turkana,2.4
Uasin Gishu,27.9
Vihiga,7
Wajir,3.4
West Pokot,2
